,Company,Cities,Year of starting,FOUNDERS,Industries,Funding amount,Funding rounds,No of employees,No of investors
194,) Cashkaro, Gurgaon, 2013,"Gaurav Baid, Mayank Tiwari, Prashanth Aluru, Sravanth Aluru",Coupons,"56,891,230",Number of funding rounds: 4,101-250,Number of investors: 12
195,) CropIn, Bengaluru, 2010,"Anmol Jaggi, Punit Goyal",Analytics,"7,697,983",Number of funding rounds: 10,251-500,Number of investors: 7
196,) Jupiter, Mumbai, 2019,Kabir Siddiq,Banking,"49,247,312",Number of funding rounds: 2,251-500,Number of investors: 5
197,) ShopX, Bengaluru, 2015,"Abhay Girnara, Amit Jain, Amrita Sirohia, Ashish Kashyap, Monika Dua, Pratiksha Dake",B2B,"119,000,000",Number of funding rounds: 4,51-100,Number of investors: 3
198,) LocoNav, Azadpur, 2015,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi",Computer,"48,598,636",Number of funding rounds: 3,11-50,Number of investors: 1
199,) Avataar.Me, Bengaluru, 2016,"Karan Mehta, Krishnan Vishwanathan",3D,"21,262,496",Number of funding rounds: 1,501-1000,Number of investors: 20
200,) BluSmart Mobility, Ahmedabad, 2019,"Mahesh Pratapneni, Sam Santhosh",Electric,"10,020,000",Number of funding rounds: 5,251-500,Number of investors: 3
201,) SleepyCat, Mumbai, 2017,"Adarsh Manpuria, Vaibhav Aggarwal",E-CommerceNumber,"177,639,874",Number of funding rounds: 1,251-500,Number of investors: 4
202,) INDwealth, Gurgaon, 2018,"Pramod Nair, Raghuram Talluri, Rakib Ahmed, Tanmoy Karmakar",Artificial,"61,000,000",Number of funding rounds: 3,101-250,Number of investors: 8
203,) Shipsy, Gurgaon, 2015,"Sanjeev Kumar, Shobhit Bhatnagar, Vibhu Bhushan",Big,"99,640,920",Number of funding rounds: 4,51-100,Number of investors: 8
204,) Kissht, Mumbai, 2015,"Kunal Shah, Sandeep Tandon",Credit,"51,250,370",Number of funding rounds: 6,501-1000,Number of investors: 12
205,) MedGenome, Bengaluru, 2013,Sameer Maheshwari,Biotechnology,"33,267,529",Number of funding rounds: 6,101-250,Number of investors: 9
206,) Fabhotels, Gurgaon, 2015,"Cheolwon Lee, Jay Yi, Martin Lee",E-Commerce,"9,702,517",Number of funding rounds: 7,101-250,Number of investors: 9
